PASSING RUSHING MISC
Player
ATT
CMP
YDS
TDS
INTS
ATT
YDS
TDS
FL
FPTS
Andrew Luck IND   626.8 388.6 4,647.9 35.4  15.8  58.6  284.3 2.5 6.2 326.9
Aaron Rodgers GB  536.2 348.8 4,336.3 35.3  8.5 50.2  254.2 2.0 5.6 323.6
Russell Wilson SEA  450.3 279.1 3,509.3 25.1  10.5  104.4 658.0 3.9 5.2 298.7
Peyton Manning DEN  596.9 390.6 4,606.6 34.6  13.3  25.7  3.0 0.4 3.6 291.6
Drew Brees NO   611.4 406.3 4,748.0 29.4  14.5  25.1  48.9  1.3 5.0 281.0
Cam Newton CAR  500.3 299.8 3,590.4 22.8  14.4  106.5 576.0 4.4 6.3 277.4
Matt Ryan ATL   614.1 403.7 4,659.8 27.0  14.4  26.2  95.8  0.7 3.7 272.1
Ben Roethlisberger PIT  591.6 385.1 4,583.7 27.9  12.8  29.1  80.2  0.4 6.4 266.8
Tony Romo DAL   500.5 327.9 4,068.8 32.2  11.4  25.0  63.4  0.4 5.9 265.7
Ryan Tannehill MIA  576.9 373.2 4,241.3 25.2  14.0  51.2  263.9 1.4 6.6 264.1
Eli Manning NYG   609.2 381.9 4,624.9 29.5  17.2  15.9  32.7  0.1 6.6 259.4
Colin Kaepernick SF   476.2 289.7 3,526.6 18.1  10.5  100.8 630.7 2.5 7.2 256.0
Matthew Stafford DET  602.7 373.0 4,385.4 24.8  14.0  35.7  104.9 1.6 5.9 255.0
Philip Rivers SD  560.7 362.2 4,337.1 28.2  16.4  35.9  81.9  0.4 5.4 253.2
Teddy Bridgewater MIN   511.5 322.1 3,762.3 22.8  14.7  65.1  286.1 1.9 3.7 244.7
Joe Flacco BAL  552.8 343.2 3,955.5 26.3  14.1  37.3  85.5  1.3 4.0 243.5
Jay Cutler CHI  560.0 356.0 4,017.4 25.6  17.8  40.7  187.5 1.2 6.8 240.2
Carson Palmer ARI   545.6 344.1 4,109.5 24.6  13.9  19.7  36.5  0.4 3.2 234.6
Alex Smith KC   506.0 311.7 3,391.8 20.6  10.1  57.1  294.1 1.4 4.6 226.7
Sam Bradford PHI  519.2 313.0 3,741.1 23.7  14.7  39.6  118.5 1.2 5.9 221.9
Robert Griffin III WAS  476.7 303.0 3,647.4 17.7  15.2  69.9  404.2 2.2 9.6 220.8
Jameis Winston TB   526.4 312.3 3,951.4 21.3  17.7  40.1  161.8 1.3 5.9 219.9
Marcus Mariota TEN  479.4 281.4 3,312.7 17.0  15.4  78.9  458.3 2.4 5.4 219.5
Tom Brady NE  465.0 298.8 3,351.8 24.2  8.8 23.8  32.4  0.9 2.6 216.5
Andy Dalton CIN   516.3 319.4 3,604.7 20.8  17.9  57.0  184.0 2.0 3.9 214.6
Blake Bortles JAC   521.5 316.1 3,535.6 17.0  17.1  62.4  402.8 0.9 4.9 210.8
Derek Carr OAK  570.8 340.4 3,794.1 19.5  14.9  30.4  103.2 0.7 6.6 201.6
Nick Foles STL  500.8 306.5 3,495.4 19.5  14.5  34.5  143.4 1.0 4.4 200.5
Josh McCown CLE   465.7 267.1 3,219.0 14.2  14.5  36.8  183.1 3.0 8.2 176.4
Matt Cassel BUF   360.0 214.0 2,484.7 13.9  11.1  33.9  116.8 0.7 5.4 137.7
Ryan Fitzpatrick NYJ  293.3 180.3 2,063.4 11.8  9.4 36.9  158.1 1.1 2.7 128.0
Ryan Mallett HOU  282.0 168.6 2,027.9 10.3  8.4 28.4  67.4  0.3 2.5 109.4
Geno Smith NYJ  227.4 132.7 1,567.6 9.4 8.3 30.6  144.3 1.1 3.1 98.8
Brian Hoyer HOU   241.0 142.7 1,669.9 8.9 7.6 16.7  32.7  0.1 2.0 87.0
E.J. Manuel BUF   119.7 71.0  801.3 4.9 4.2 25.3  91.9  1.1 0.6 57.9
Jimmy Garoppolo NE  144.0 86.6  942.2 6.0 3.7 9.1 26.7  0.1 0.4 56.9
Mark Sanchez PHI  61.0  37.8  445.4 3.0 2.4 9.7 26.7  0.0 0.2 27.3
Johnny Manziel CLE  50.9  29.8  326.8 1.8 1.8 9.9 38.7  0.6 0.3 23.2
Tyrod Taylor BUF  55.2  31.7  353.0 2.4 2.0 9.3 28.0  0.3 0.6 22.9
Kirk Cousins WAS  53.3  32.8  388.5 2.1 2.1 3.8 11.6  0.1 0.4 20.5
Derek Anderson CAR  25.8  15.5  182.0 1.0 0.7 3.9 11.3  0.0 0.3 10.6
Drew Stanton ARI  25.6  15.5  183.1 0.9 0.7 3.7 10.9  0.0 0.1 10.1
Brandon Weeden DAL  17.8  10.6  131.3 1.0 0.1 2.6 10.6  0.0 0.1 9.8
Mike Glennon TB   22.5  13.4  157.5 0.8 0.8 4.8 10.1  0.0 0.0 8.8
Jimmy Clausen CHI   23.2  13.5  156.5 0.9 0.5 2.0 5.8 0.0 0.5 8.6
Zach Mettenberger TEN   20.2  11.9  139.6 0.8 0.5 1.5 5.0 0.0 0.0 8.1
Chase Daniel KC   15.3  9.5 101.9 0.7 0.1 2.8 12.0  0.0 0.1 7.5
Austin Davis STL  18.9  11.4  131.0 0.6 0.4 1.8 5.7 0.0 0.1 7.5
Blaine Gabbert SF   19.1  11.7  128.6 0.4 0.4 2.6 11.9  0.0 0.2 6.8
Chad Henne JAC  17.4  10.2  110.0 0.3 0.3 2.3 11.3  0.0 0.0 6.1
Shaun Hill MIN  13.7  8.2 93.2  0.3 0.3 0.8 1.3 0.3 0.0 5.9
Bruce Gradkowski PIT  14.5  8.6 100.6 0.7 0.4 0.9 1.3 0.0 0.1 5.8
Christian Ponder OAK  5.9 3.3 32.7  0.0 0.0 11.6  34.8  0.0 0.0 4.8
Josh Johnson CIN  12.0  7.0 81.0  0.0 0.0 1.0 2.0 0.0 0.0 3.4
Colt McCoy WAS  9.7 6.0 69.3  0.0 0.3 3.0 12.0  0.0 0.0 3.3
Scott Tolzien GB  5.4 3.7 42.9  0.0 0.0 1.0 9.1 0.0 0.0 2.7
Matt Hasselbeck IND   7.5 4.7 52.3  0.0 0.0 1.5 1.1 0.0 0.0 2.3
Kellen Clemens SD   5.2 3.2 36.8  0.0 0.0 2.0 5.6 0.0 0.0 2.1
Luke McCown NO  6.9 4.2 45.4  0.0 0.0 0.1 0.5 0.0 0.0 1.9
Matt McGloin OAK  6.0 4.0 46.0  0.0 0.0 0.0 0.0 0.0 0.0 1.8
Brock Osweiler DEN  4.5 2.4 28.7  0.0 0.0 1.8 4.5 0.0 0.0 1.8
Matt Schaub BAL   5.0 2.9 35.4  0.0 0.0 1.5 2.0 0.0 0.0 1.7
Ryan Nassib NYG   4.7 2.9 33.1  0.0 0.0 0.8 1.8 0.0 0.0 1.5
Matt Moore MIA  2.7 1.7 20.6  0.0 0.0 0.5 0.1 0.0 0.0 0.9
Taylor Yates ATL  2.7 1.9 18.2  0.0 0.0 0.3 1.1 0.0 0.0 0.9
Dan Orlovsky DET  2.7 1.6 18.8  0.0 0.0 0.0 0.0 0.0 0.0 0.8
Tarvaris Jackson SEA  2.1 1.1 16.9  0.0 0.0 0.1 0.2 0.0 0.0 0.7
AJ McCarron CIN   2.3 1.2 16.1  0.0 0.0 0.0 0.1 0.0 0.0 0.7
Matt Flynn NE   0.7 0.4 4.9 0.0 0.0 0.0 0.1 0.0 0.0 0.2
Brett Hundley GB  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
Garrett Grayson NO  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
